processes,data_size,maximum_d1,maximum_d2,time
8,262144,99936.000000,1416360.081579,0.083525
8,1048576,99936.000000,1416360.081579,0.470337
8,262144,99936.000000,1416360.081579,0.246829
8,1048576,99936.000000,1416360.081579,0.431090
8,262144,99936.000000,1416360.081579,0.229205
8,1048576,99936.000000,1416360.081579,0.469602
8,262144,99936.000000,1416360.081579,0.246043
8,1048576,99936.000000,1416360.081579,0.453224
8,262144,99936.000000,1416360.081579,0.180178
8,1048576,99936.000000,1416360.081579,0.471121
16,262144,99936.000000,1416360.081584,0.381770
16,1048576,99936.000000,1416360.081584,0.666613
16,262144,99936.000000,1416360.081584,0.426707
16,1048576,99936.000000,1416360.081584,0.684159
16,262144,99936.000000,1416360.081584,0.417196
16,1048576,99936.000000,1416360.081584,0.686100
16,262144,99936.000000,1416360.081584,0.426744
16,1048576,99936.000000,1416360.081584,0.684297
16,262144,99936.000000,1416360.081584,0.428747
16,1048576,99936.000000,1416360.081584,0.705409
32,262144,99936.000000,1416360.081586,0.682352
32,1048576,99936.000000,1416360.081586,1.029124
32,262144,99936.000000,1416360.081586,0.736486
32,1048576,99936.000000,1416360.081586,1.002146
32,262144,99936.000000,1416360.081586,0.713446
32,1048576,99936.000000,1416360.081586,1.066106
32,262144,99936.000000,1416360.081586,0.733719
32,1048576,99936.000000,1416360.081586,1.062412
32,262144,99936.000000,1416360.081586,0.732949
32,1048576,99936.000000,1416360.081586,1.041779
