P,nx,time
32,120,0.685204 
32,120,0.340393 
32,120,0.327968 
32,120,0.820982 
32,120,0.629602 
32,240,2.967825 
32,240,2.938278 
32,240,2.980961 
32,240,2.924135 
32,240,3.054103 
48,120,1.181019 
48,120,0.912630 
48,120,1.252629 
48,120,1.057138 
48,120,1.216832 
48,240,3.254468 
48,240,2.964845 
48,240,3.345974 
48,240,2.992813 
48,240,3.273101 
64,120,1.668961 
64,120,1.676795 
64,120,1.715713 
64,120,1.707526 
64,120,1.657276 
64,240,3.553673 
64,240,3.630485 
64,240,3.690632 
64,240,3.655619 
64,240,3.677935 
96,120,2.433008 
96,120,2.867414 
96,120,2.643257 
96,120,3.157646 
96,120,3.336728 
96,240,5.011302 
96,240,5.066493 
96,240,4.959798 
96,240,5.236416 
96,240,5.335390
